pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
400 350 0 47 177 252
0.134997 0.1396 0 0.493598 0.939447 0.939847
0.332738 0.377771 0 0.442449 0.189351 0.122233
429 395 0 37 186 253
0.135 0.139601 0 0.493602 0.939422 0.93985
0.3422 0.377317 0 0.420114 0.202106 0.126915
592 461 0 66 200 249
0.134999 0.139605 0 0.493602 0.939347 0.939823
0.336745 0.354186 0 0.473425 0.20684 0.1775
439 394 0 51 182 266
0.135003 0.139601 0 0.4936 0.939475 0.939809
0.333468 0.390119 0 0.528347 0.135684 0.168296
722 635 0 92 193 264
0.135002 0.139603 0 0.493602 0.939213 0.939794
0.35117 0.384209 0 0.494907 0.24817 0.228545
465 402 0 53 188 249
0.135003 0.139593 0 0.493599 0.939382 0.939843
0.320829 0.3531 0 0.519597 0.17323 0.143513
681 557 0 75 187 260
0.134999 0.139601 0 0.493601 0.93932 0.939784
0.333676 0.364245 0 0.421232 0.222451 0.186706
411 392 0 67 185 249
0.135003 0.139605 0 0.493602 0.941951 0.939835
0.354585 0.369456 0 0.524466 0.218218 0.117245
657 615 0 81 204 273
0.134999 0.139602 0 0.4936 0.939156 0.939796
0.337353 0.365004 0 0.484675 0.275835 0.217679
446 370 0 55 180 252
0.135007 0.139594 0 0.493602 0.939353 0.939826
0.321258 0.363316 0 0.468069 0.190147 0.139912
666 567 0 53 188 266
0.135002 0.139609 0 0.493598 0.939377 0.939769
0.357839 0.382612 0 0.438435 0.203474 0.223868
569 466 0 67 199 233
0.135001 0.139603 0 0.4936 0.939352 0.939818
0.352425 0.365576 0 0.518748 0.194738 0.130048
640 521 0 70 207 247
0.135005 0.139596 0 0.493594 0.939199 0.939818
0.3668 0.353646 0 0.467929 0.25786 0.195926
532 438 0 55 200 253
0.135001 0.139602 0 0.493598 0.939296 0.939813
0.324126 0.389666 0 0.530996 0.22018 0.15504
435 406 0 33 175 255
0.134993 0.139597 0 0.493594 0.939454 0.939826
0.310073 0.342647 0 0.519619 0.134114 0.146164
580 502 0 53 199 252
0.135001 0.139602 0 0.49359 0.93922 0.939824
0.340737 0.371216 0 0.523902 0.22417 0.163453
518 436 0 53 193 241
0.135004 0.139597 0 0.4936 0.93931 0.939821
0.328214 0.360033 0 0.425574 0.187314 0.154914
687 601 0 74 195 257
0.134996 0.139597 0 0.493592 0.939245 0.939808
0.321816 0.355882 0 0.450895 0.205127 0.174592
493 450 0 41 187 252
0.135 0.139607 0 0.493598 0.939377 0.939842
0.332985 0.361516 0 0.480429 0.171938 0.157756
587 564 0 74 208 257
0.134992 0.139597 0 0.493605 0.939188 0.939804
0.356138 0.361791 0 0.528434 0.261079 0.194521
349 312 0 42 176 252
0.135005 0.139603 0 0.493599 0.939503 0.94019
0.32984 0.373453 0 0.483297 0.165423 0.11967
698 592 0 70 211 239
0.135003 0.139598 0 0.4936 0.939211 0.939811
0.337995 0.366196 0 0.49024 0.252082 0.200072
512 399 0 56 187 256
0.134996 0.139602 0 0.493629 0.939265 0.939835
0.335001 0.354391 0 0.526148 0.219502 0.173334
613 530 0 54 195 256
0.135003 0.139601 0 0.493596 0.939194 0.9398
0.339235 0.370193 0 0.505559 0.222949 0.196373
569 471 0 66 194 253
0.134994 0.139599 0 0.493602 0.939367 0.939827
0.348353 0.363709 0 0.474681 0.184993 0.172292
444 378 0 53 185 238
0.134997 0.139606 0 0.4936 0.939341 0.939854
0.333897 0.369143 0 0.560214 0.166881 0.12926
475 431 0 45 194 240
0.135005 0.1396 0 0.4936 0.939274 0.939854
0.341568 0.356766 0 0.615933 0.231828 0.130441
546 489 0 56 187 255
0.135001 0.139595 0 0.493601 0.939297 0.939819
0.334076 0.354056 0 0.486021 0.250828 0.163331
600 522 0 68 194 261
0.134999 0.139602 0 0.493598 0.942514 0.93981
0.36693 0.380463 0 0.54068 0.231049 0.185546
654 594 0 69 190 262
0.135003 0.139602 0 0.4936 0.939267 0.939798
0.360174 0.375562 0 0.452576 0.242851 0.235787
657 586 0 67 187 258
0.134996 0.139601 0 0.493601 0.939249 0.939814
0.347516 0.371242 0 0.488309 0.249801 0.188352
345 275 0 52 183 247
0.135019 0.139609 0 0.493599 0.944363 0.93985
0.355903 0.348625 0 0.462715 0.180077 0.158287
399 399 0 41 202 241
0.134997 0.139598 0 0.493601 0.939326 0.939842
0.35811 0.390954 0 0.463937 0.234746 0.137732
522 458 0 41 208 242
0.134993 0.139596 0 0.493598 0.939182 0.939814
0.351491 0.367553 0 0.387182 0.2108 0.146974
373 348 0 46 189 246
0.134996 0.139602 0 0.493602 0.939341 0.939847
0.372241 0.362334 0 0.472769 0.179695 0.136709
407 395 0 52 182 255
0.135 0.139619 0 0.49356 0.93935 0.939834
0.307645 0.36001 0 0.589327 0.165424 0.118147
531 521 0 61 202 248
0.134999 0.139602 0 0.4936 0.939202 0.939826
0.323843 0.364726 0 0.503134 0.273572 0.166042
664 596 0 80 205 256
0.134999 0.139597 0 0.493602 0.939222 0.939809
0.354808 0.377109 0 0.514864 0.221604 0.188893
586 518 0 70 200 244
0.134999 0.139606 0 0.493602 0.939214 0.939788
0.346007 0.351358 0 0.471358 0.221109 0.207548
286 255 0 29 180 246
0.134996 0.139598 0 0.4936 0.939499 0.939833
0.335972 0.360234 0 0.387093 0.139379 0.130475
408 332 0 42 184 251
0.134995 0.139602 0 0.493603 0.939469 0.939847
0.332536 0.352888 0 0.480057 0.195415 0.116364
494 420 0 44 202 241
0.135005 0.139603 0 0.4936 0.939298 0.939825
0.341062 0.353059 0 0.509774 0.17579 0.149599
261 240 0 29 174 243
0.135 0.139598 0 0.493597 0.939606 0.939875
0.355759 0.345747 0 0.466228 0.112965 0.088628
479 420 0 53 192 253
0.135006 0.1396 0 0.4936 0.939347 0.939832
0.348365 0.361486 0 0.496751 0.189461 0.166965
690 587 0 64 200 250
0.134998 0.139602 0 0.493602 0.941798 0.939801
0.343414 0.36865 0 0.497202 0.251936 0.217472
588 535 0 77 188 263
0.134995 0.139597 0 0.493601 0.939241 0.939815
0.336543 0.356944 0 0.40768 0.243016 0.200814
605 525 0 64 178 267
0.134995 0.139598 0 0.4936 0.938972 0.939795
0.357188 0.359653 0 0.489263 0.224049 0.178408
